version,filename,threads,time taken
Sequential,images/blackbuck.bmp,1,5.815029
Sequential,images/map.bmp,1,10.077000
Sequential,images/snail.bmp,1,0.802994
Parallel,images/blackbuck.bmp,1,2.747059
Parallel,images/blackbuck.bmp,2,1.343012
Parallel,images/blackbuck.bmp,3,0.839949
Parallel,images/blackbuck.bmp,4,0.655174
Parallel,images/blackbuck.bmp,5,0.767946
Parallel,images/blackbuck.bmp,6,0.649929
Parallel,images/blackbuck.bmp,7,0.617027
Parallel,images/blackbuck.bmp,8,0.631094
Parallel,images/map.bmp,1,5.379915
Parallel,images/map.bmp,2,2.810001
Parallel,images/map.bmp,3,1.999140
Parallel,images/map.bmp,4,1.573086
Parallel,images/map.bmp,5,1.994848
Parallel,images/map.bmp,6,1.716852
Parallel,images/map.bmp,7,1.597881
Parallel,images/map.bmp,8,1.456022
Parallel,images/snail.bmp,1,0.298977
Parallel,images/snail.bmp,2,0.195980
Parallel,images/snail.bmp,3,0.180006
Parallel,images/snail.bmp,4,0.162125
Parallel,images/snail.bmp,5,0.209808
Parallel,images/snail.bmp,6,0.213146
Parallel,images/snail.bmp,7,0.211954
Parallel,images/snail.bmp,8,0.221014
